Order Date,Are you a student?,Did a UJC Ambassador Invite you to the Summit?,Did a UJC Advisor Invite you to the Summit?,How did you hear about that hear about the Summit?
2025-02-25 12:02:58-05:00,No,No,Mysonne Linen,Other (Please describe in next question)
2025-02-25 12:04:12-05:00,No,No,Charlamagne Tha God,Other (Please describe in next question)
2025-02-25 12:04:39-05:00,No,No,Rebecca Brown,Other (Please describe in next question)
2025-02-25 12:04:57-05:00,,,,
2025-02-25 12:04:53-05:00,No,No,Desiree Perez,Other (Please describe in next question)
2025-02-25 12:08:22-05:00,,,,
2025-02-25 12:08:34-05:00,Yes,No,Jonathan S. Abady,Other (Please describe in next question)
2025-02-25 12:09:04-05:00,,,,
2025-02-25 12:13:59-05:00,No,No,Jana Fleishman,
2025-02-25 12:13:21-05:00,,,,
2025-02-25 12:14:17-05:00,No,Amirah A.,,
2025-02-25 12:14:48-05:00,,,,
2025-02-25 12:16:24-05:00,,,,
2025-02-25 12:17:47-05:00,No,No,Desiree Perez,Other (Please describe in next question)
2025-02-25 12:17:26-05:00,No,No,Gayle King,LinkedIn
2025-02-25 12:17:54-05:00,No,No,Faith Leach,Other (Please describe in next question)
2025-02-25 12:18:38-05:00,No,No,Dania Diaz,Other (Please describe in next question)
2025-02-25 12:21:04-05:00,,,,
2025-02-25 12:20:56-05:00,,,,
2025-02-25 12:21:51-05:00,No,Britney T.,,
2025-02-25 12:26:53-05:00,No,No,Desiree Perez,Other (Please describe in next question)
2025-02-25 12:27:12-05:00,No,No,K.C. Fox,
2025-02-25 12:26:01-05:00,Yes,No,Angela Rye,Other (Please describe in next question)
2025-02-25 12:29:05-05:00,,,,
2025-02-25 12:29:43-05:00,,,,
2025-02-25 12:31:12-05:00,,,,
2025-02-25 12:31:10-05:00,No,No,Barry Scheck,
2025-02-25 12:36:45-05:00,No,No,Marcy Croft,
2025-02-25 12:40:13-05:00,Yes,Amirah A.,,
2025-02-25 12:44:19-05:00,,,,
2025-02-25 12:48:53-05:00,No,No,Dania Diaz,Other (Please describe in next question)
2025-02-25 12:49:16-05:00,,,,
2025-02-25 12:54:20-05:00,No,No,Charlamagne Tha God,Twitter/X
2025-02-25 12:57:56-05:00,,,,
2025-02-25 13:01:35-05:00,No,No,Michael Eric Dyson,Other (Please describe in next question)
2025-02-25 13:05:44-05:00,,,,
2025-02-25 13:11:08-05:00,Yes,No,Marcy Croft,Other (Please describe in next question)
2025-02-25 13:18:28-05:00,No,No,Desiree Perez,Other (Please describe in next question)
2025-02-25 13:19:17-05:00,No,No,Desiree Perez,
2025-02-25 13:26:15-05:00,No,No,Jonathan S. Abady,Facebook
2025-02-25 13:38:35-05:00,,,,
2025-02-25 13:44:06-05:00,No,No,Susan Taylor Batten,LinkedIn
2025-02-25 13:44:31-05:00,No,No,Michael Eric Dyson,
2025-02-25 13:48:44-05:00,No,No,David Wander,Twitter/X
2025-02-25 13:54:55-05:00,No,No,David Wander,
2025-02-25 13:55:23-05:00,No,No,Mysonne Linen,Threads
2025-02-25 13:57:11-05:00,No,No,Rebecca Brown,LinkedIn
2025-02-25 14:04:44-05:00,,,,
2025-02-25 14:18:15-05:00,No,No,Charlamagne Tha God,Facebook
2025-02-25 14:25:19-05:00,No,No,Desiree Perez,Other (Please describe in next question)
2025-02-25 14:28:11-05:00,No,No,Desiree Perez,LinkedIn
2025-02-25 14:31:56-05:00,,,,
2025-02-25 14:33:10-05:00,,,,
2025-02-25 14:36:26-05:00,,,,
2025-02-25 14:42:15-05:00,No,No,No,Other (Please describe in next question)
2025-02-25 14:52:21-05:00,No,Breqlyne J.,,
2025-02-25 15:03:43-05:00,No,No,Lisa Wayne,
2025-02-25 15:08:07-05:00,No,No,Lisa Wayne,
2025-02-25 15:15:16-05:00,Yes,No,No,LinkedIn
2025-02-25 15:39:21-05:00,No,No,Dania Diaz,Other (Please describe in next question)
2025-02-25 15:40:39-05:00,,,,
2025-02-25 15:57:37-05:00,No,No,No,Other (Please describe in next question)
2025-02-25 15:59:29-05:00,Yes,No,No,Facebook
2025-02-25 16:01:47-05:00,Yes,No,No,Other (Please describe in next question)
2025-02-25 16:07:46-05:00,No,No,No,Other (Please describe in next question)
2025-02-25 16:08:07-05:00,Yes,No,No,Other (Please describe in next question)
2025-02-25 16:09:57-05:00,No,No,No,LinkedIn
2025-02-25 16:09:57-05:00,Yes,No,No,Other (Please describe in next question)
2025-02-25 16:21:54-05:00,No,No,No,Other (Please describe in next question)
2025-02-25 16:30:15-05:00,Yes,No,No,
2025-02-25 16:31:49-05:00,No,No,No,Other (Please describe in next question)
2025-02-25 16:33:00-05:00,Yes,No,No,Other (Please describe in next question)
2025-02-25 16:36:29-05:00,,,,
2025-02-25 16:37:30-05:00,Yes,No,No,Other (Please describe in next question)
2025-02-25 16:44:00-05:00,No,Britney T.,,
2025-02-25 16:46:10-05:00,,,,
2025-02-25 16:48:09-05:00,Yes,No,No,Other (Please describe in next question)
2025-02-25 17:00:46-05:00,,,,
2025-02-25 17:18:57-05:00,Yes,No,No,
2025-02-25 17:20:19-05:00,No,Breqlyne J.,,
2025-02-25 17:20:43-05:00,,,,
2025-02-25 17:20:49-05:00,,,,
2025-02-25 17:20:20-05:00,No,No,No,Other (Please describe in next question)
2025-02-25 17:22:09-05:00,No,No,No,
2025-02-25 17:22:41-05:00,Yes,No,No,Other (Please describe in next question)
2025-02-25 17:25:20-05:00,No,No,No,Other (Please describe in next question)
2025-02-25 17:24:12-05:00,Yes,No,No,Other (Please describe in next question)
2025-02-25 17:28:07-05:00,No,No,No,Other (Please describe in next question)
2025-02-25 17:28:15-05:00,,,,
2025-02-25 17:29:50-05:00,No,No,No,LinkedIn
2025-02-25 17:29:46-05:00,,,,
2025-02-25 17:30:01-05:00,,,,
2025-02-25 17:30:05-05:00,No,No,No,LinkedIn
2025-02-25 17:30:15-05:00,No,No,No,
2025-02-25 17:30:47-05:00,No,No,No,Facebook
2025-02-25 17:31:40-05:00,,,,
2025-02-25 17:31:37-05:00,No,No,No,Other (Please describe in next question)
2025-02-25 17:34:03-05:00,No,No,No,Other (Please describe in next question)
2025-02-25 17:34:30-05:00,,,,
2025-02-25 17:35:07-05:00,No,No,Michael Eric Dyson,Other (Please describe in next question)
2025-02-25 17:36:25-05:00,No,No,No,
2025-02-25 17:35:33-05:00,No,No,No,Facebook
2025-02-25 17:37:44-05:00,No,No,No,
2025-02-25 17:38:34-05:00,No,No,No,Other (Please describe in next question)
2025-02-25 17:38:48-05:00,Yes,No,No,Other (Please describe in next question)
2025-02-25 17:38:57-05:00,Yes,No,No,Other (Please describe in next question)
2025-02-25 17:38:57-05:00,No,No,No,Other (Please describe in next question)
2025-02-25 17:39:55-05:00,No,No,No,Other (Please describe in next question)
2025-02-25 17:40:25-05:00,,,,
2025-02-25 17:40:51-05:00,No,No,No,Other (Please describe in next question)
2025-02-25 17:41:45-05:00,No,No,No,Other (Please describe in next question)
2025-02-25 17:41:58-05:00,,,,
2025-02-25 17:43:08-05:00,No,No,No,Other (Please describe in next question)
2025-02-25 17:40:58-05:00,No,No,No,LinkedIn
2025-02-25 17:43:24-05:00,No,No,Tamika Mallory,Other (Please describe in next question)
2025-02-25 17:43:19-05:00,Yes,No,No,Other (Please describe in next question)
2025-02-25 17:45:00-05:00,No,No,No,Other (Please describe in next question)
2025-02-25 17:46:56-05:00,No,Amirah A.,,
2025-02-25 17:47:17-05:00,,,,
2025-02-25 17:47:02-05:00,No,No,Carmen Perez,LinkedIn
2025-02-25 17:48:58-05:00,No,No,No,Facebook
2025-02-25 17:47:31-05:00,No,No,No,LinkedIn
2025-02-25 17:49:11-05:00,No,No,No,TikTok
2025-02-25 17:48:50-05:00,No,No,No,Other (Please describe in next question)
2025-02-25 17:49:22-05:00,No,No,David Wander,Other (Please describe in next question)
2025-02-25 17:50:51-05:00,No,No,No,
2025-02-25 17:52:11-05:00,,,,
2025-02-25 17:53:52-05:00,No,No,No,Other (Please describe in next question)
2025-02-25 17:54:47-05:00,No,No,No,Other (Please describe in next question)
2025-02-25 17:54:09-05:00,No,No,No,Other (Please describe in next question)
2025-02-25 17:55:46-05:00,,,,
2025-02-25 17:56:07-05:00,No,No,No,Other (Please describe in next question)
2025-02-25 17:57:32-05:00,,,,
2025-02-25 17:58:17-05:00,No,No,No,Other (Please describe in next question)
2025-02-25 17:59:18-05:00,,,,
2025-02-25 17:57:15-05:00,No,No,No,Other (Please describe in next question)
2025-02-25 18:02:17-05:00,Yes,No,No,LinkedIn
2025-02-25 18:02:04-05:00,Yes,No,No,Facebook
2025-02-25 18:00:41-05:00,No,No,No,Other (Please describe in next question)
2025-02-25 18:04:53-05:00,No,No,No,Other (Please describe in next question)
2025-02-25 18:08:57-05:00,No,No,Benjamin Crump,Facebook
2025-02-25 18:10:22-05:00,No,Raven C.,,
2025-02-25 18:09:54-05:00,No,No,No,Other (Please describe in next question)
2025-02-25 18:10:21-05:00,,,,
2025-02-25 18:10:52-05:00,No,Jayla N.,,
2025-02-25 18:11:28-05:00,Yes,No,No,Other (Please describe in next question)
2025-02-25 18:11:25-05:00,No,Raven C.,,
2025-02-25 18:11:57-05:00,,,,
2025-02-25 18:12:17-05:00,Yes,No,No,LinkedIn
2025-02-25 18:13:01-05:00,,,,
2025-02-25 18:15:25-05:00,No,No,No,
2025-02-25 18:17:31-05:00,No,No,No,Other (Please describe in next question)
2025-02-25 18:25:02-05:00,Yes,Raven C.,,
2025-02-25 18:29:10-05:00,No,No,No,Other (Please describe in next question)
2025-02-25 18:31:02-05:00,No,No,No,Other (Please describe in next question)
2025-02-25 18:34:19-05:00,No,No,No,Other (Please describe in next question)
2025-02-25 18:37:07-05:00,Yes,No,No,Other (Please describe in next question)
2025-02-25 18:38:10-05:00,Yes,No,No,Other (Please describe in next question)
2025-02-25 18:53:27-05:00,No,No,No,LinkedIn
2025-02-25 18:53:38-05:00,No,No,No,Threads
2025-02-25 18:56:33-05:00,No,No,No,LinkedIn
2025-02-25 18:57:00-05:00,No,No,No,Other (Please describe in next question)
2025-02-25 18:59:08-05:00,No,Breqlyne J.,,
2025-02-25 19:03:04-05:00,No,No,No,
2025-02-25 19:03:08-05:00,No,Breqlyne J.,,
2025-02-25 19:03:58-05:00,No,No,No,
2025-02-25 19:04:52-05:00,No,No,Tamika Mallory,Other (Please describe in next question)
2025-02-25 19:12:47-05:00,No,No,David Wander,Other (Please describe in next question)
2025-02-25 19:15:58-05:00,No,No,Charlamagne Tha God,Other (Please describe in next question)
2025-02-25 19:19:36-05:00,No,No,No,Other (Please describe in next question)
2025-02-25 19:19:56-05:00,,,,
2025-02-25 19:24:45-05:00,No,No,No,Other (Please describe in next question)
2025-02-25 19:24:41-05:00,No,No,Charlamagne Tha God,Other (Please describe in next question)
2025-02-25 19:25:12-05:00,Yes,No,No,Other (Please describe in next question)
2025-02-25 19:26:22-05:00,No,No,No,Other (Please describe in next question)
2025-02-25 19:28:45-05:00,No,No,Desiree Perez,Other (Please describe in next question)
2025-02-25 19:28:30-05:00,No,No,No,Other (Please describe in next question)
2025-02-25 19:30:42-05:00,No,No,No,Other (Please describe in next question)
2025-02-25 19:30:59-05:00,No,No,No,
2025-02-25 19:31:10-05:00,No,No,Desiree Perez,
2025-02-25 19:32:35-05:00,No,No,No,Other (Please describe in next question)
2025-02-25 19:33:10-05:00,No,No,No,Other (Please describe in next question)
2025-02-25 19:35:46-05:00,No,No,No,Other (Please describe in next question)
2025-02-25 19:35:44-05:00,No,No,No,Other (Please describe in next question)
2025-02-25 19:35:57-05:00,No,No,No,Other (Please describe in next question)
2025-02-25 19:36:54-05:00,,,,
2025-02-25 19:37:29-05:00,No,No,Topeka K. Sam,
2025-02-25 19:39:29-05:00,No,No,No,Other (Please describe in next question)
2025-02-25 19:40:11-05:00,,,,
2025-02-25 19:40:15-05:00,No,No,No,Other (Please describe in next question)
2025-02-25 19:41:12-05:00,No,No,No,Other (Please describe in next question)
2025-02-25 19:41:31-05:00,No,No,No,Other (Please describe in next question)
2025-02-25 19:40:55-05:00,No,No,Tamika Mallory,Other (Please describe in next question)
2025-02-25 19:41:41-05:00,No,No,No,Other (Please describe in next question)
2025-02-25 19:42:08-05:00,Yes,No,No,Other (Please describe in next question)
2025-02-25 19:41:14-05:00,No,No,No,Other (Please describe in next question)
2025-02-25 19:42:44-05:00,No,No,No,LinkedIn
2025-02-25 19:42:47-05:00,No,No,No,Other (Please describe in next question)
2025-02-25 19:43:39-05:00,No,No,No,Other (Please describe in next question)
