Platform,Amount Spent,Click,Impressions,CPC (Cost Per Click),CTR (Click Through Rate),Leads,Cost Per Lead,Video Views,Video View Rate,CPV (Cost Per View),Full Video Completion %
Total," $6,366.56 "," 9,200 "," 611,677 ", $1.76 ,25.0%, 274 , $180.78 ," 76,966 ",62.3%, $0.02 ,62.1%
FB," $1,498.57 "," 4,382 "," 205,998 ", $0.34 ,21.3%, 3 , $499.52 ,0,0.0%,0,0.0%
IG," $1,749.58 ", 429 ," 111,075 ", $4.08 ,0.4%, 2 , $874.79 ,0,0.0%,0,0.0%
Meta LeadGen," $1,169.41 "," 1,135 "," 45,848 ", $1.03 ,2.5%, 234 , $5.00 ,0,0.0%,0,0.0%
LinkedIn, $471.78 , 127 ," 14,542 ", $3.71 ,0.9%, 23 , $20.51 ,0,0.0%,0,0.0%
YouTube Trailer 1, $499.96 , 182 ," 64,380 ",0,0.0%,0,0," 42,396 ",65.9%, $0.01 ,65.9%
YouTube Trailer 2, $499.95 , 193 ," 58,869 ",0,0.0%, 1 ,0," 34,570 ",58.7%, $0.01 ,58.3%
Google Search, $477.31 ," 2,725 "," 110,965 ", $0.18 ,0.0%, 11 , $43.39 ,0,0.0%,0,0.0%
Google Display, $33.01 , 27 , 101 , $1.22 ,0.0%, 11 , $3.00 ,0,0.0%,0,0.0%
,,,,,,,,,,,
,,,,16192,,,,,,,
